Datetime,Close,High,Low,Open,Volume
2021-02-16,272.06951904296875,274.68128004000954,268.17669806558547,268.9214954462222,15417200
2021-02-17,271.6723327636719,272.06955202031486,267.7099896104113,269.358478316072,12763200
2021-02-18,267.5212707519531,270.0635097465597,264.1845631303574,267.70001482832095,15249100
2021-02-19,259.74560546875,268.3951773652327,258.34538273459236,267.9880178207571,25622600
2021-02-22,258.52410888671875,261.2451224455358,255.7435442710094,256.16064411630646,17434900
2021-02-23,264.0157775878906,265.604684827942,253.19140952092832,257.6999099486897,21924600
2021-02-24,262.4765319824219,264.5321800799506,256.59761480938323,260.51025593619215,15736100
2021-02-25,252.92323303222656,265.08825551031765,252.2777329518293,260.4804283677124,19053100
2021-02-26,255.8329162597656,263.7078995320883,254.69089973234236,254.69089973234236,26619500
2021-03-01,263.07232666015625,264.8002466065348,256.1109452345398,259.0107025698377,22157300
2021-03-02,257.20330810546875,264.8598150850479,256.8557300063131,263.9362738003962,15191700
2021-03-03,253.63824462890625,259.17952327480714,253.33039749890509,258.48439730307683,15513500
2021-03-04,255.8527984619141,264.64138288685854,251.74150257132257,254.6909012693047,31626500
2021-03-05,262.4467468261719,263.60864412929794,253.8368905187001,258.8618031452885,26820100
2021-03-08,253.5389404296875,263.7376876689268,253.2807494759016,263.7078969878338,18391800
2021-03-09,263.8966064453125,266.66726127339814,258.0077489120371,259.36824065418534,22039700
2021-03-10,263.06243896484375,267.1042135136652,261.0465218554377,266.7765159880859,14210300
2021-03-11,271.9801330566406,275.9722359021643,265.96217295395087,266.2501394394714,21834000
2021-03-12,266.5381774902344,267.86887864473107,262.18855548795733,267.27306492322964,20600200
2021-03-15,271.8510437011719,274.0457048286008,266.63746204114943,267.2134253470967,16844800
2021-03-16,277.3426818847656,280.18285832005444,272.8937479573369,274.16486760719044,22437700
2021-03-17,282.0398864746094,284.24448797008944,273.49953697383603,273.7974438086778,21315000
2021-03-18,276.6872253417969,283.2116569291594,276.34958753759776,277.92855416865217,18728300
2021-03-19,288.0975341796875,290.76887646170974,279.2493682351889,279.26921858795276,38930500
2021-03-22,291.5037841796875,297.6309672357557,284.7608764742998,288.4352224866444,28273100
2021-03-23,288.61395263671875,295.9328233174748,287.79963356760106,291.11646090364803,23000900
2021-03-24,280.182861328125,289.6963932978706,279.20964849752187,288.9813865930339,18675000
2021-03-25,276.8063659667969,286.06172023452035,275.8232433122774,279.0308476549715,24505600
2021-03-26,281.0566711425781,282.5264152497752,275.84309054482304,276.3694127072185,17629200
2021-03-29,288.8026123046875,291.1462266275226,282.7250711018045,283.7876255653244,21718800
2021-03-30,286.002197265625,290.44119091458725,284.7112272475432,287.819489559495,17474500
2021-03-31,292.4868469238281,294.4431822644306,286.6079005740464,287.9783323758534,19498200
2021-04-01,296.5882263183594,300.3022725798608,294.54251877589684,296.3300202168841,17616000
2021-04-05,306.76715087890625,308.6142338487392,298.5942299891719,298.80279507741744,28237000
2021-04-06,304.13555908203125,309.1902473618839,303.1325555067955,306.6976489192928,17335200
2021-04-07,310.9181213378906,312.07007816687496,303.3807760699453,304.21494543454486,22855200
2021-04-08,310.8486022949219,313.688778534992,307.8992036600971,312.6659247488208,20894100
2021-04-09,310.29248046875,312.55666307145435,308.1772512663788,309.23983603188884,15988600
2021-04-12,309.3788757324219,309.984629655204,305.79390230898474,308.8922542226104,10881900
2021-04-13,307.6112365722656,312.2488242933257,307.17428638234855,310.04422299179186,14036900
2021-04-14,300.7193603515625,305.8932103611847,299.8554003462069,305.16826342390004,17421400
2021-04-15,305.68463134765625,307.98854456561907,301.9904361208797,304.21488733498177,14558300
2021-04-16,304.0560607910156,306.8068650471184,302.4969444090367,306.03227702070234,13059200
2021-04-19,300.14337158203125,305.5655177464558,298.4750329033836,302.89417567255794,14553500
2021-04-20,300.550537109375,302.9835537939867,295.1482714936018,299.8951118354893,16796400
2021-04-21,299.37872314453125,299.88519500510046,295.3270391776164,299.85540432541285,14863500
2021-04-22,294.4631042480469,300.8187332985432,293.9864532833794,299.2397360604261,16375400
2021-04-23,299.0411071777344,300.49097087154496,295.0887049838903,296.68755239289857,17536800
2021-04-26,300.9378356933594,303.6786691082406,299.4680914666265,301.235742486538,16172600
2021-04-27,301.46417236328125,303.2218831391314,299.0212153184825,302.1692386782204,15309300
2021-04-28,304.96966552734375,308.76317361208896,303.25165555869114,305.22784130964635,33907200
2021-04-29,327.2242736816406,329.5083069817706,319.37904994231457,327.83002770338777,56526800
2021-04-30,322.824951171875,327.53209104824134,322.248987887127,323.8776259782797,26332400
2021-05-03,320.3423156738281,326.27090422619693,319.6074585992322,323.90743925273455,18719500
2021-05-04,316.1515808105469,319.9550297777541,310.9479394226379,317.80006933320976,24032600
2021-05-05,312.8347473144531,318.83285731643707,312.30842504926153,315.98277088195334,15577600
2021-05-06,317.8000183105469,318.0184933882546,311.09684289263714,312.33817167373155,19012200
2021-05-07,316.8666076660156,320.69984756028447,316.53891012894223,320.1437345661758,15916700
2021-05-10,303.8475036621094,312.3977620050916,302.7153972344073,312.1693768985715,24239200
2021-05-11,304.4036560058594,304.7115031678488,297.61110747680095,298.66375202538734,18920100
2021-05-12,300.4512939453125,302.8445801720804,296.1215524370896,299.0411610087724,24645500
2021-05-13,303.1424865722656,306.71748989994825,300.66973856002795,303.9567753757269,18079200
2021-05-14,313.74835205078125,314.6520430906645,306.93592356007673,307.39275439730136,19245700
2021-05-17,313.2716979980469,313.49017310689794,309.4186080633365,311.3749437134494,15401300
2021-05-18,307.80987548828125,314.3045176079125,307.6609220624403,313.4008264166306,14522400
2021-05-19,311.4146728515625,312.4772577066652,301.46419089388326,302.0798852044265,19106200
2021-05-20,316.3998107910156,317.0353857038535,310.9876352326923,311.4047047515973,17320200
2021-05-21,314.0363464355469,317.71066162154136,313.6192466103653,317.07511701397885,13600900
2021-05-24,322.3780822753906,323.68893285411247,315.82385968766243,316.002603774066,16445400
2021-05-25,325.51617431640625,326.8965163184287,322.5468949273761,324.8110776685687,16437000
2021-05-26,325.3870544433594,327.54198436900356,323.5598220015561,326.07227039727064,9686900
2021-05-27,330.4417724609375,331.4646263219847,324.4933337229342,325.72472236570246,20477700
2021-05-28,326.4496765136719,330.5609424009443,326.05242698912605,328.7039190666391,12037400
2021-06-01,326.84686279296875,329.12098577650926,324.3741453730533,327.859776244359,11765900
2021-06-02,326.8667297363281,329.56786271635684,324.85081275421754,328.0882083208523,11654300
2021-06-03,323.7782897949219,325.1089906636587,321.23605077615906,323.520083700462,12610800
2021-06-04,328.05841064453125,330.1537592993756,322.92426093429344,323.63926759923044,13289400
2021-06-07,334.24517822265625,335.347494066772,326.6482512651954,327.1944541755547,20136700
2021-06-08,331.3653259277344,335.9532731268308,329.93531247530376,334.3643962293605,14580500
2021-06-09,327.9591064453125,334.463657978423,327.710840656936,333.41101346017734,13727900
2021-06-10,330.1537780761719,331.6235225004314,326.2708973852136,328.49537952813114,13240200
2021-06-11,328.96209716796875,330.52118322602627,326.64824313875914,330.2729174472799,13587900
2021-06-14,334.433837890625,334.4835092274623,327.5221274355902,329.59762560722135,12250800
2021-06-15,334.41400146484375,337.5620248503402,332.7059317076359,334.65232691277197,15795200
2021-06-16,328.7833251953125,335.2084448088056,326.439710773516,334.3643653995588,17232200
2021-06-17,334.1756896972656,335.6354937373488,327.8597923156813,328.197430149362,17794100
2021-06-18,327.37322998046875,333.8182006835169,326.71780460807463,332.2094430903154,23039500
2021-06-21,329.9849548339844,330.61058945270315,325.3771273795917,328.7932669596741,11337500
2021-06-22,336.67816162109375,337.56200227451876,330.2927735400573,330.3821455770533,15345300
2021-06-23,338.22735595703125,341.0377414877368,335.8539509185642,336.9959674168666,14817800
2021-06-24,340.7994079589844,342.5074778063374,339.41906592570973,339.47864729083625,12329100
2021-06-25,339.001953125,341.7328767106353,337.3236740242663,340.2134913461353,14594400
2021-06-28,353.1729431152344,355.65560063806936,339.39913372160845,340.0843496223811,29156100
2021-06-29,349.44903564453125,354.265368080388,346.6287093933313,353.79862714859274,21417300
2021-06-30,345.2979736328125,350.4718543781205,344.76174136100525,349.72705702806195,15107500
2021-07-01,351.9316711425781,352.2097276177686,344.0963881893645,344.41417567697727,17137000
2021-07-02,352.239501953125,353.9674220897666,350.17391368538927,352.6367211412645,11521300
2021-07-06,350.33282470703125,356.30114407035626,346.7577912256229,354.02702092017273,13488500
2021-07-07,348.0587158203125,354.0170950982068,347.5721245438341,352.79564674200435,14218900
2021-07-08,343.25225830078125,345.9136601651972,340.1836969240964,343.331720320965,14406500
2021-07-09,347.9891662597656,348.2771327231589,342.87486732307934,342.9245386589562,13018700
2021-07-12,350.710205078125,351.7330589669335,347.21463350700583,348.79360036608597,10018600
2021-07-13,349.6475830078125,356.00318078237416,346.38039692535693,349.0616794159111,11456000
2021-07-14,345.21856689453125,352.7360626317846,344.32481607097134,352.10048763359197,13894200
2021-07-15,342.0705261230469,346.807456771449,337.8599480408071,346.807456771449,14781600
2021-07-16,338.7934265136719,343.5899081740883,337.7805130149065,342.5174133110356,11026100
2021-07-19,334.6126708984375,337.43296686382087,332.2193848529158,335.2283652584028,14372300
2021-07-20,339.2900085449219,341.06760032620235,332.1796717256866,336.44983176602386,11024300
2021-07-21,343.8282775878906,344.11624409141785,338.88281201452764,339.1310778108753,9279700
2021-07-22,348.75384521484375,349.1014233736785,342.8153167504496,344.2751207728499,12385400
