Date,Open,High,Low,Close,Volume
2021-02-22 05:00:00,14.733316330627298,15.090811453956276,14.284827635904886,14.315491676330566,325884000.0
2021-02-23 05:00:00,14.035778314628121,14.198820593637908,13.35195136230545,14.102341651916504,391780000.0
2021-02-24 05:00:00,14.083145503096832,14.466068467380678,13.717423274073871,14.45833969116211,448320000.0
2021-02-25 05:00:00,14.006110991803554,14.33443798699334,13.179187133736889,13.270180702209473,824436000.0
2021-02-26 05:00:00,13.713933240960111,13.815647436688753,13.323531609545643,13.676040649414062,500932000.0
2021-03-01 05:00:00,13.836090305328044,13.885950280412095,13.515242901527062,13.802933692932129,353184000.0
2021-03-02 05:00:00,13.861021202997064,13.881463899435085,13.358434810228255,13.368656158447266,264116000.0
2021-03-03 05:00:00,13.38859986982293,13.41377854511925,12.762859005310784,12.768842697143555,377592000.0
2021-03-04 05:00:00,12.764853610702268,12.938615575725441,12.04986423160692,12.33556079864502,573344000.0
2021-03-05 05:00:00,12.514805563806275,12.514805563806275,11.646497027872458,12.426553726196289,542840000.0
2021-03-08 05:00:00,12.41508648345778,12.436276664198935,11.534063968796627,11.560739517211914,543112000.0
2021-03-09 05:00:00,12.100408589821392,12.5857115477266,12.029583156574535,12.489449501037598,521824000.0
2021-03-10 05:00:00,12.808911083089319,12.948067565563633,12.42685387625009,12.437577247619629,384376000.0
2021-03-11 05:00:00,12.918142518050555,13.014156273626458,12.703172774674462,12.961535453796387,299916000.0
2021-03-12 05:00:00,12.617135882333454,12.85704471942903,12.55902969809042,12.82437515258789,243964000.0
2021-03-15 04:00:00,12.833102427316174,13.17426110970681,12.73584243101685,13.158799171447754,221988000.0
2021-03-16 04:00:00,13.323639558080519,13.479255898576616,13.0844794904959,13.258550643920898,272128000.0
2021-03-17 04:00:00,13.00767018394586,13.4201527389685,12.957543753879627,13.308428764343262,243864000.0
2021-03-18 04:00:00,13.104182253321333,13.151565052474703,12.685713947139764,12.691200256347656,293896000.0
2021-03-19 04:00:00,12.718634595532432,12.889712905578849,12.581473040159986,12.814148902893066,299208000.0
2021-03-22 04:00:00,12.880981041263372,13.361545328853861,12.87499528552396,13.153807640075684,297804000.0
2021-03-23 04:00:00,13.221643113543065,13.311671106919352,12.989216509091099,13.038595199584961,222048000.0
2021-03-24 04:00:00,13.118897393362214,13.126878086028931,12.605663414562246,12.611897468566895,245840000.0
2021-03-25 04:00:00,12.468749258322461,12.6834697198719,12.241808987248234,12.504410743713379,295144000.0
2021-03-26 04:00:00,12.523614443030619,12.82462229390924,12.343059962632033,12.807663917541504,363968000.0
2021-03-29 04:00:00,12.788707939251315,13.030362373781267,12.668754041085375,12.916393280029297,273520000.0
2021-03-30 04:00:00,12.81040644183664,12.943328859463614,12.673743402077953,12.840083122253418,200204000.0
2021-03-31 04:00:00,12.98348265572809,13.437363304695063,12.950563841520216,13.315414428710938,314776000.0
2021-04-01 04:00:00,13.5388611010894,13.835878123071739,13.47801034601489,13.777771949768066,308276000.0
2021-04-05 04:00:00,13.833385038729487,13.979524270576526,13.699215418219154,13.953089714050293,255672000.0
2021-04-06 04:00:00,13.965307570164205,14.019673114856985,13.739614501010701,13.827397346496582,191744000.0
2021-04-07 04:00:00,13.846598487062993,14.208456055878774,13.677765362047403,14.108702659606934,251284000.0
2021-04-08 04:00:00,14.217687357595498,14.435899213055192,14.213945783814793,14.281779289245605,244416000.0
2021-04-09 04:00:00,14.179032137087,14.372555124634204,14.140128521718337,14.364574432373047,195172000.0
2021-04-12 04:00:00,14.254596031105418,15.314731433707978,14.104465977801848,15.171584129333496,869324000.0
2021-04-13 04:00:00,15.194028535206293,15.661376111521582,15.088538607928012,15.640926361083984,676212000.0
2021-04-14 04:00:00,15.586561501348141,15.681826557633755,15.190039338700716,15.239418029785156,385500000.0
2021-04-15 04:00:00,15.62396691847129,16.174359665359855,15.593043048827143,16.097549438476562,598480000.0
2021-04-16 04:00:00,16.01350646843604,16.12598008943115,15.826218501412095,15.873353004455566,335208000.0
2021-04-19 04:00:00,15.498276894788122,15.768610086032313,15.195523394059228,15.323956489562988,404420000.0
2021-04-20 04:00:00,15.28555384611717,15.458876336209281,14.926190558835732,15.133928298950195,334132000.0
2021-04-21 04:00:00,15.0815550200728,15.32470592597656,15.06509609224263,15.322710990905762,216776000.0
2021-04-22 04:00:00,15.337174711025497,15.400518892869922,14.747129626728535,14.813715934753418,277788000.0
